lab,full_name,group,N,pvalue,OR,effect_estimate,std_error,prs_r2,Bonferroni,FDR
WBCCnt,Leukocytes [#/volume] in Blood by Manual count,immune,12577,0.007528034,1.025258618,0.024944891,0.00933201,0.001705959,FALSE,TRUE
CALCULATED_MEAN_GLUCOSE,CALCULATED_MEAN_GLUCOSE,metabolic,315,0.007553301,1.154297008,0.143491508,0.053280403,0.041154101,FALSE,TRUE
P.DURATION,P wave duration,cardiovascular,7689,0.007566751,1.032673959,0.032151515,0.012034092,0.001423998,FALSE,TRUE
UWBC,Leukocytes [#/area] in Urine sediment by Microscopy high power field,urinary,26832,0.008762524,0.984651114,-0.0154679,0.005900606,0.008794475,FALSE,TRUE
Blasts,Blasts/100 leukocytes in Blood by Manual count,blood,1718,0.009007181,0.938203469,-0.063788436,0.024389997,-0.013284462,FALSE,TRUE
LipIdx,Lipemic index of Serum or Plasma,metabolic,4980,0.009684057,1.036182927,0.035543699,0.013733827,0.002877011,FALSE,TRUE
FT4,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,endocrine,28968,0.010126343,1.016689584,0.016551844,0.006436203,0.000461713,FALSE,TRUE
pH,pH of Arterial blood,kidney,18408,0.010667865,1.01786837,0.017710607,0.006935236,0.004660459,FALSE,TRUE
METAS,Metanephrines [Mass/time] in 24 hour Urine,endocrine,401,0.011338414,1.121413551,0.114589989,0.045004086,0.017195026,FALSE,TRUE
RBC,Erythrocytes [#/volume] in Blood by Automated count,blood,3113,0.011610865,0.955966242,-0.045032678,0.017831424,0.011472464,FALSE,TRUE
CD3_percent_,CD3%,immune,1759,0.012117555,0.932783567,-0.06958208,0.027702637,0.007600987,FALSE,TRUE
ATRIAL.RATE,P wave Atrium by EKG,cardiovascular,7700,0.012315745,0.974364375,-0.025969943,0.01037259,-0.000874287,FALSE,TRUE
HORIZONTAL.AXIS..INITIAL.40.MS,QRS axis,cardiovascular,7550,0.012938278,0.970650189,-0.029789134,0.011981757,-0.002019727,FALSE,TRUE
Gentamc,Gentamicin [Susceptibility] by Minimum inhibitory concentration (MIC),toxicology/pharmacology,198,0.013047099,1.195701008,0.178732631,0.071115138,0.055084913,FALSE,TRUE
GTTFst,Fasting glucose [Mass/volume] in Serum or Plasma,metabolic,869,0.01353146,1.212280843,0.192503579,0.077784615,-0.000804309,FALSE,TRUE
Creat1,Creatinine [Mass/volume] in Urine,kidney,790,0.01540996,0.93023693,-0.072315962,0.029774648,0.010683641,FALSE,FALSE
F.Crea,Creatinine [Mass/volume] in Body fluid,kidney,604,0.015834933,1.097331247,0.092881093,0.038358884,0.029572795,FALSE,FALSE
I.WBC,Leukocytes [#/volume] in Blood by Automated count,immune,1067,0.016101054,1.079279587,0.07629377,0.031641666,0.014446409,FALSE,FALSE
Mg,Magnesium [Mass/volume] in Serum or Plasma,metabolic,22536,0.017132566,1.014952863,0.014842171,0.006225583,0.000163309,FALSE,FALSE
BuprGl,BuprGl,other,186,0.019484841,0.840857933,-0.173332559,0.073376683,0.035994336,FALSE,FALSE
FMeta,Metamyelocytes/100 leukocytes in Body fluid by Manual count,immune,828,0.020084517,1.05645367,0.054917705,0.023562393,0.003343775,FALSE,FALSE
SU.CA,Calcium [Mass/volume] in Urine,urinary,1078,0.020196065,0.924145686,-0.078885551,0.033903288,3.06E-05,FALSE,FALSE
Dose,Dose,toxicology/pharmacology,4806,0.020470599,1.036152801,0.035514625,0.015317617,0.002527447,FALSE,FALSE
TUCrea,Creatinine [Mass/volume] in Urine,kidney,2404,0.020630511,0.955754792,-0.045253892,0.019535254,4.86E-05,FALSE,FALSE
Lamict,Lamotrigine serum/plasma,toxicology/pharmacology,537,0.022199072,0.864004807,-0.146176946,0.063714456,0.00593344,FALSE,FALSE
PSA.T_percent_,Free/Total PSA serum/plasma,cancer,675,0.023132189,1.081463478,0.078315196,0.034387066,0.006142773,FALSE,FALSE
sz,sz,other,497,0.023463835,1.12300631,0.116009295,0.051018924,0.01045984,FALSE,FALSE
A1Anti,Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma,other,1877,0.024044982,1.065753879,0.063682416,0.028196333,0.005742237,FALSE,FALSE
RTIME,Clotting time of Blood by Thromboelastography,blood,778,0.024974483,0.922340486,-0.080840833,0.035961062,0.027544124,FALSE,FALSE
VitB1P,Thiamine [Mass/volume] in Serum or Plasma,metabolic,271,0.026054285,1.153588376,0.142877411,0.063750298,0.034002305,FALSE,FALSE
GTT2Hr,Glucose [Mass/volume] in Serum or Plasma --2 hours post 100 g glucose PO,metabolic,860,0.026232488,1.191536879,0.175243968,0.0786966,0.009510893,FALSE,FALSE
Luc_percent_,Luc%,immune,3988,0.026364719,0.965087238,-0.03553678,0.015994841,0.00588956,FALSE,FALSE
X.WBC,#WBC,immune,355,0.027086631,1.070336449,0.067973037,0.030596775,-0.007784104,FALSE,FALSE
Cystne,Cystine [Moles/volume] in Serum or Plasma,metabolic,424,0.027149228,1.483503978,0.394406843,0.177832449,0.042978338,FALSE,FALSE
URBC,Erythrocytes [#/area] in Urine sediment by Microscopy high power field,urinary,25361,0.027913024,1.010854543,0.010796055,0.004910299,-0.005141813,FALSE,FALSE
X5HIAAl,5-Hydroxyindoleacetate [Mass/volume] in 24 hour Urine,urinary,237,0.028296633,0.846458909,-0.166693621,0.075422559,0.036815669,FALSE,FALSE
Hemoglobin_A1C,Hemoglobin A1c (Glycated),metabolic,143,0.028752506,1.225494712,0.203344609,0.091599611,0.121156072,FALSE,FALSE
TetTox,TetTox,other,547,0.031159333,0.874380396,-0.134239762,0.062107829,-0.001141606,FALSE,FALSE
FSeg,Segmented neutrophils/100 leukocytes in Synovial fluid,immune,408,0.031219714,1.107161437,0.101799476,0.047051802,0.014142099,FALSE,FALSE
HPLCA2,Hemoglobin A2/Hemoglobin.total in Blood,blood,734,0.031830973,0.843872911,-0.169753375,0.07892238,0.010310485,FALSE,FALSE
Lido,Lidocaine [Mass/volume] in Serum or Plasma,toxicology/pharmacology,144,0.032007158,1.445513463,0.368464596,0.169452815,-0.018322718,FALSE,FALSE
Glycin,Glycine [Moles/volume] in Serum or Plasma,metabolic,435,0.032860063,0.718518016,-0.330564499,0.15437044,0.018038043,FALSE,FALSE
DtLDos,DtLDos,other,138,0.033822979,1.194503947,0.177730992,0.082609012,0.033309866,FALSE,FALSE
ALKALINE.PHOSPHATASE,ALKALINE PHOSPHATASE,liver,128,0.033946335,1.193631118,0.177000021,0.082129569,0.095644896,FALSE,FALSE
FERRITIN,FERRITIN,blood,149,0.034618443,1.162609347,0.150666916,0.070442306,0.073344183,FALSE,FALSE
SU.Na,Sodium [Moles/volume] in Urine,urinary,2818,0.034653967,0.96718215,-0.033368435,0.015786916,0.004216832,FALSE,FALSE
Glomerular_Filtration_Rate_Cal,Glomerular_Filtration_Rate_Cal,kidney,296,0.034762334,0.889626657,-0.116953391,0.055064499,0.039155679,FALSE,FALSE
RDW.CV.1,RDW-CV,blood,331,0.036057892,1.122436758,0.115501999,0.054821492,0.039867127,FALSE,FALSE
LDL_HDL.RATIO,LDL_HDL RATIO,metabolic,105,0.036420648,0.78386385,-0.243519934,0.114363198,0.056045815,FALSE,FALSE
QMG.NL,Mitogen stimulated gamma interferon [Units/volume] corrected for background in Blood,immune,1083,0.036714978,0.933116735,-0.069224968,0.033092107,0.003861127,FALSE,FALSE
FATYP,Variant lymphocytes/100 leukocytes in Body fluid by Manual count,blood,1086,0.036904933,0.942940496,-0.058752099,0.028110548,0.008398844,FALSE,FALSE
UKeto,Ketones [Mass/volume] in Urine by Test strip,urinary,6455,0.038597199,0.974095696,-0.026245729,0.012685561,-0.003171368,FALSE,FALSE
T3FRE,Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,endocrine,1514,0.038774279,0.94027833,-0.061579352,0.029767613,0.003275947,FALSE,FALSE
MyAcGl,Mycophenolate glucuronide [Mass/volume] in Serum or Plasma by LC/MS/MS,immune,147,0.038775854,1.321740154,0.278949167,0.133007098,0.041100272,FALSE,FALSE
TestBG,Sex hormone binding globulin [Moles/volume] in Serum or Plasma,endocrine,794,0.039651736,0.935806532,-0.066346521,0.032187525,0.011032607,FALSE,FALSE
LA,Lactate [Moles/volume] in Serum or Plasma,metabolic,10649,0.039692232,1.017982594,0.017822819,0.008663435,0.003167399,FALSE,FALSE
SU.K,Potassium [Moles/volume] in Urine,urinary,531,0.040123443,1.080310954,0.07724892,0.037517327,0.014458855,FALSE,FALSE
VancRn,Vancomycin [Mass/volume] in Serum or Plasma,toxicology/pharmacology,399,0.040203863,1.102555479,0.097630648,0.047376393,0.021603943,FALSE,FALSE
TstSnt,TstSnt,other,470,0.04161396,0.91282965,-0.091205998,0.04461742,0.012127258,FALSE,FALSE
Histdn,Histidine [Moles/volume] in Serum or Plasma,metabolic,423,0.042857835,0.713016739,-0.338250382,0.166473464,4.96E-05,FALSE,FALSE
ABS.EOS.CT,ABS EOS CT,immune,211,0.042888026,1.161205018,0.149458275,0.073236638,0.045369465,FALSE,FALSE
BUN_CREATININE_RATIO,Creatinine [Mass/volume] in Urine,metabolic,171,0.044878431,1.181756301,0.167001723,0.082436632,0.051066168,FALSE,FALSE
Cefepm,Cefepime [Susceptibility] by Minimum inhibitory concentration (MIC),toxicology/pharmacology,473,0.044964306,1.099447724,0.094807984,0.047123035,0.031767853,FALSE,FALSE
ALK.PHOSPHATASE,ALK PHOSPHATASE,liver,245,0.047672004,1.110361274,0.104685434,0.052533815,0.019404632,FALSE,FALSE
RED.BLOOD.CELLS,RED BLOOD CELLS,blood,340,0.048705287,0.88844849,-0.118278607,0.059724792,0.031533724,FALSE,FALSE
Source,Specimen source identified,other,161,0.04990645,1.200683849,0.182891268,0.092364588,0.032340904,FALSE,FALSE
Nornic,Nornicotine [Mass/volume] in Urine,urinary,290,0.054861058,0.896837298,-0.108880818,0.056397602,0.032180339,FALSE,FALSE
SU.CL,Chloride [Moles/volume] in Urine,urinary,319,0.055933046,1.104075265,0.099008121,0.05153807,0.024505237,FALSE,FALSE
SU.Cre,Creatinine [Mass/volume] in 24 hour Urine,endocrine,1657,0.056523455,0.95111612,-0.050119121,0.026260509,0.000758557,FALSE,FALSE
HGH2IS,Somatotropin [Mass/volume] in Serum or Plasma,endocrine,180,0.05652803,1.302739532,0.264469379,0.137555719,0.021561337,FALSE,FALSE
FBlsts,Blasts/100 leukocytes in Body fluid by Manual count,immune,785,0.057494782,0.981152495,-0.019027383,0.009997494,-0.002893863,FALSE,FALSE
P.HORIZONTAL.AXIS,P wave axis horizontal plane Reference beat,cardiovascular,7157,0.057668419,0.976948574,-0.023321265,0.012283443,0.000720043,FALSE,FALSE
SU.Ure,Urea nitrogen [Mass/volume] in Urine,urinary,2794,0.058591641,0.969291869,-0.031189506,0.016482986,0.006403846,FALSE,FALSE
PltP2Y,PltP2Y,other,211,0.058750348,1.13091856,0.123030188,0.064645184,0.008227176,FALSE,FALSE
BILIRUBIN..TOTAL,BILIRUBIN TOTAL,liver,244,0.058949953,0.900701697,-0.104581156,0.055053417,0.026451846,FALSE,FALSE
HrColl,Collection duration of Unspecified specimen,urinary,1740,0.059176232,1.022334139,0.022088385,0.011697399,-0.01037219,FALSE,FALSE
F.ALB,Albumin [Mass/volume] in Body fluid,liver,454,0.060756965,1.089972334,0.086152315,0.045790298,0.023099414,FALSE,FALSE
HEART.RATE,Heart rate,other,7707,0.060798777,0.982100724,-0.018061405,0.009631201,0.000128176,FALSE,FALSE
ACHRBd,ACHRBd,other,221,0.060864832,0.930803727,-0.071706843,0.038003389,0.046530096,FALSE,FALSE
GLUCOSE,GLUCOSE,metabolic,373,0.0614094,1.10316423,0.098182623,0.052292903,0.018397824,FALSE,FALSE
RR.INTERVAL,R-R interval by EKG,cardiovascular,7707,0.062316204,1.019954123,0.019757648,0.010597439,0.000861811,FALSE,FALSE
SyMnCl,Mononuclear cells/100 leukocytes in Synovial fluid by Manual count,immune,999,0.063371406,0.958957161,-0.041908876,0.022543289,0.037529322,FALSE,FALSE
Pre,Pre,other,204,0.063927446,0.940129819,-0.061737308,0.033075341,0.021687431,FALSE,FALSE
TmLDos,TmLDos,other,354,0.067929415,1.060985133,0.059197847,0.032301945,-0.012254816,FALSE,FALSE
CMeta,Metamyelocytes/100 leukocytes in Cerebral spinal fluid by Manual count,immune,809,0.069478381,1.0633568,0.061430697,0.033789694,-0.027113697,FALSE,FALSE
Sirol,Sirolimus [Mass/volume] in Blood,toxicology/pharmacology,293,0.070998915,0.908585892,-0.095865853,0.052789727,0.0136189,FALSE,FALSE
IgG.Q,IgG [Mass/volume] in Serum or Plasma,immune,3763,0.071589299,0.969924962,-0.03053657,0.016942915,0.005072938,FALSE,FALSE
R_F,Rheumatoid factor [Units/volume] in Serum or Plasma,immune,4118,0.071902221,1.02572072,0.025395507,0.014106471,0.011093365,FALSE,FALSE
HIVLog,HIVLog,immune,247,0.073722352,0.875213281,-0.133287672,0.074153929,0.023431274,FALSE,FALSE
Chloride_HH,Chloride [Moles/volume] in Blood,blood,145,0.075524382,0.864518232,-0.145582884,0.081087144,0.067624553,FALSE,FALSE
Depaka,Valproate serum/plasma,toxicology/pharmacology,1006,0.077437704,0.931664808,-0.070782177,0.040040469,0.002948606,FALSE,FALSE
TCO2_HH,Carbon dioxide,blood,149,0.077891816,1.153517246,0.142815749,0.080220007,0.074157836,FALSE,FALSE
ALBUMIN,ALBUMIN,liver,247,0.079773555,1.112378105,0.106500161,0.060476942,0.036164509,FALSE,FALSE
URCRE,Creatinine [Mass/volume] in Urine,urinary,565,0.080964398,1.07605213,0.073298908,0.041911893,-0.000657147,FALSE,FALSE
GBMAb,Basement membrane IgG Ab [Units/volume] in Serum by Immunofluorescence,immune,381,0.088225177,1.056485748,0.054948068,0.032117901,0.001835461,FALSE,FALSE
AChRGn,AChRGn,immune,179,0.08929383,0.910959598,-0.093256732,0.054509241,0.058613891,FALSE,FALSE
Tobra1,Tobramycin [Mass/volume] in Serum or Plasma,toxicology/pharmacology,460,0.089592743,1.085096646,0.081669057,0.047984457,0.031858693,FALSE,FALSE
StnWgt,StnWgt,other,295,0.089946525,0.900531739,-0.104769869,0.061528328,0.043597852,FALSE,FALSE
Test_percent_F,Testosterone Free/Testosterone.total in Serum or Plasma,endocrine,395,0.094170341,1.080034649,0.076993123,0.04586658,0.006863927,FALSE,FALSE
CKMB,CKMB,kidney,248,0.096405691,1.10225042,0.097353926,0.058279242,0.042782067,FALSE,FALSE
CD19..,CD19-#,immune,1120,0.097120059,0.952382964,-0.048788052,0.029378596,-0.004962125,FALSE,FALSE
SwtVolR,SwtVolR,other,103,0.097147423,1.389407379,0.32887731,0.196094737,0.005157195,FALSE,FALSE
R.LPA,Lipoprotein a [Mass/volume] in Serum or Plasma,metabolic,354,0.098194061,1.091407429,0.087468082,0.052728613,0.007107907,FALSE,FALSE
Clindam,Clindamycin [Susceptibility] by Minimum inhibitory concentration (MIC),toxicology/pharmacology,197,0.098504815,1.188191712,0.172432582,0.103715735,-0.004527702,FALSE,FALSE
ctd,ctd,endocrine,520,0.105505069,0.94752435,-0.053902643,0.033229222,0.038206551,FALSE,FALSE
HCVQNT,HCVQNT,immune,663,0.106379642,0.928315978,-0.07438311,0.045992415,0.009949655,FALSE,FALSE
SUCrea,Creatinine [Mass/volume] in Urine,urinary,8910,0.107352745,0.984220882,-0.015904933,0.009876382,0.003613095,FALSE,FALSE
ProTim,ProTim,blood,247,0.107717426,0.904475721,-0.100399817,0.062126765,0.022419442,FALSE,FALSE
EOSINOPHIL.PERCENT,EOSINOPHIL PERCENT,immune,340,0.107876104,1.098689969,0.094118533,0.058337971,0.019295414,FALSE,FALSE
RetPal,Retinyl palmitate [Mass/volume] in Serum or Plasma,metabolic,1850,0.107923328,0.954862772,-0.046187643,0.028714645,-0.00011973,FALSE,FALSE
Alum,Aluminum [Mass/volume] in Serum or Plasma,toxicology/pharmacology,134,0.111418312,1.143827442,0.134380044,0.083664098,0.03456593,FALSE,FALSE
PCAct,Protein C [Units/volume] in Platelet poor plasma by Chromogenic method,blood,1026,0.111668436,0.945457055,-0.056086812,0.035219929,0.007407356,FALSE,FALSE
CEA,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,cancer,2337,0.112405887,0.967505737,-0.033033924,0.020800029,-0.003615854,FALSE,FALSE
GTFst,GTFst,other,390,0.112849588,1.112494591,0.106604873,0.067060471,0.010830532,FALSE,FALSE
ParvoM,Parvovirus B19 IgM Ab [Presence] in Serum by Immunoassay,immune,312,0.114997129,0.865562376,-0.144375837,0.091298411,0.020800744,FALSE,FALSE
AFP.Ob,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,ob/gyn,956,0.119105448,0.740573238,-0.300330746,0.192518802,0.002165782,FALSE,FALSE
NURSING.WHOLE.BLOOD.SUGAR,NURSING WHOLE BLOOD SUGAR,ob/gyn,106,0.12353536,1.135979271,0.127495072,0.081852933,-0.004145163,FALSE,FALSE
BASOPHILS,BASOPHILS,immune,255,0.123596102,1.096494262,0.092118055,0.059571769,0.009978027,FALSE,FALSE
CSeg,Polymorphonuclear cells [#/volume] in Cerebral spinal fluid,blood,411,0.127611416,0.938201266,-0.063790784,0.041770274,-0.000219777,FALSE,FALSE
Quant_TB2...NIL,Quant_TB2(-)NIL,immune,522,0.128229828,1.095847168,0.091527734,0.060064319,-0.007842111,FALSE,FALSE
IRON_BINDING_CAPACITY,IRON_BINDING_CAPACITY,blood,136,0.128747281,1.124927352,0.117718458,0.076853405,0.049401254,FALSE,FALSE
IPF,Platelets reticulated/100 platelets in Blood by Automated count,blood,5054,0.13029127,1.022015998,0.021777146,0.014390957,0.003022832,FALSE,FALSE
Inhib,Inhibin A [Mass/volume] in Serum or Plasma,endocrine,419,0.130918603,0.643748965,-0.440446435,0.290976902,0.005586206,FALSE,FALSE
G.Sub3,IgG subclass 3 [Mass/volume] in Serum,immune,344,0.13195282,1.119658745,0.113023947,0.074807883,0.00828841,FALSE,FALSE
Ceftaz,Ceftazidime [Susceptibility] by Minimum inhibitory concentration (MIC),toxicology/pharmacology,254,0.133216779,1.096602521,0.092216783,0.061144807,0.006526383,FALSE,FALSE
QRS.HORIZONTAL.AXIS,QRS axis.horizontal plane Reference beat,cardiovascular,7556,0.133968857,1.018322185,0.018156356,0.012113643,0.000694271,FALSE,FALSE
VMAgCr,VMAgCr,other,276,0.134003151,1.072536108,0.070026038,0.046567989,-0.00677223,FALSE,FALSE
RDW.SD.1,Erythrocyte distribution width [Entitic volume] by Automated count,blood,3026,0.137816979,1.027738742,0.027360993,0.018432113,0.002298342,FALSE,FALSE
ACAIgA,Cardiolipin IgA Ab [Units/volume] in Serum by Immunoassay,immune,2080,0.13802357,1.038027767,0.037322535,0.025152236,0.001186039,FALSE,FALSE
NormeU,Normetanephrine [Mass/time] in 24 hour Urine,urinary,414,0.139693722,1.070495716,0.068121827,0.046018138,0.008217782,FALSE,FALSE
ALBUMIN_GLOBULIN_RATIO,Albumin serum/plasma,liver,171,0.140462963,0.893754544,-0.112324101,0.075724045,0.059866886,FALSE,FALSE
EOSINOPHILS,EOSINOPHILS,immune,255,0.140523248,1.102938586,0.097978059,0.066214226,0.024920387,FALSE,FALSE
Lead,Lead,toxicology/pharmacology,290,0.140988138,1.229436142,0.206555643,0.139893894,0.011906097,FALSE,FALSE
LctasT,Beta galactosidase [Enzymatic activity/mass] in Tissue,metabolic,369,0.142098808,0.864187431,-0.1459656,0.099204233,0.004652861,FALSE,FALSE
HCTWB,Hematocrit,blood,13442,0.142107005,0.988414495,-0.01165314,0.007937595,-0.001481666,FALSE,FALSE
CMoncl,Mononuclear cells [#/volume] in Cerebral spinal fluid by Manual count,immune,467,0.142560509,1.080838255,0.077736903,0.052911791,0.027454124,FALSE,FALSE
F7Act,Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay,blood,108,0.14389727,0.844871494,-0.168570742,0.114140537,0.039379097,FALSE,FALSE
AtyLym,Variant lymphocytes/100 leukocytes in Blood by Manual count,immune,8553,0.1451016,0.984660462,-0.015458406,0.010608214,-0.002807547,FALSE,FALSE
Cr24Hr,Creatinine [Mass/time] in 24 hour Urine,kidney,1524,0.146109721,0.965509051,-0.035099803,0.024135062,-0.003465089,FALSE,FALSE
BUN_HH,Urea nitrogen [Mass/volume] in Blood,kidney,146,0.148255313,1.116573919,0.110264996,0.075703262,0.038921023,FALSE,FALSE
GlutAc,Glutamate [Moles/volume] in Serum or Plasma,metabolic,435,0.148946916,1.248868638,0.222238052,0.153680483,0.006391409,FALSE,FALSE
LDL_CALCULATED,LDL_CALCULATED,metabolic,167,0.149362336,0.8936648,-0.112424518,0.077524493,0.031948734,FALSE,FALSE
B.OH.B,Beta hydroxybutyrate [Mass/volume] in Serum or Plasma,metabolic,195,0.150645319,0.90731013,-0.097270958,0.067334709,0.024942359,FALSE,FALSE
TstPBy,TstPBy,endocrine,15471,0.152283353,0.994683836,-0.005330345,0.003723371,0.00010706,FALSE,FALSE
CD34_percent_,CD34%,immune,191,0.15276793,1.161219741,0.149470954,0.10400047,0.025756897,FALSE,FALSE
TIGIgG,Tissue transglutaminase IgG Ab [Units/volume] in Serum by Immunoassay,immune,1669,0.154076365,0.942333284,-0.059396263,0.041652725,-0.000324244,FALSE,FALSE
LEUKOREDUCED_RANDOM_PLATELETS,LEUKOREDUCED_RANDOM_PLATELETS,immune,2348,0.157506938,0.970120388,-0.030335103,0.021453007,0.008802946,FALSE,FALSE
TC.HDL,Cholesterol.total/Cholesterol in HDL [Molar ratio] in Serum or Plasma,metabolic,4095,0.159455437,1.01991606,0.01972033,0.014013843,0.002397849,FALSE,FALSE
Bupren,Buprenorphine [Mass/volume] in Urine,toxicology/pharmacology,119,0.160016558,0.850647629,-0.161757303,0.114177213,0.023021954,FALSE,FALSE
Cefazol,Cefazolin [Susceptibility],toxicology/pharmacology,276,0.161320621,1.085076494,0.081650486,0.058086431,0.019115652,FALSE,FALSE
F.Amy,Amylase [Enzymatic activity/volume] in Body fluid,metabolic,595,0.162896081,0.958916715,-0.041951053,0.030016242,0.00817393,FALSE,FALSE
HCG.B,HCG-B,ob/gyn,571,0.16710189,0.894412611,-0.111588077,0.080656587,0.005201779,FALSE,FALSE
LucAbs,Leukocytes [#/volume] in Blood by Automated count,blood,3853,0.167340371,1.021433708,0.021207237,0.015355267,0.003157324,FALSE,FALSE
CELL.,CELL#,other,184,0.170211874,1.12773957,0.120215248,0.087235516,0.004654754,FALSE,FALSE
CHOL_HDL.RATIO,CHOL_HDL RATIO,metabolic,102,0.171123758,0.842157608,-0.171788099,0.124318576,0.019055746,FALSE,FALSE
ECMOPH,pH (acidity) in blood,blood,119,0.172766903,1.242192834,0.216878232,0.156301844,0.230589862,FALSE,FALSE
Sal,Salicylates [Mass/volume] in Serum or Plasma,toxicology/pharmacology,152,0.17606152,1.115788275,0.109561128,0.080479205,0.037524058,FALSE,FALSE
X5.HIAA,5-HIAA,other,159,0.177056948,1.088572098,0.084866836,0.062506646,0.095098793,FALSE,FALSE
Thyrgb,Thyroglobulin [Mass/volume] in Serum or Plasma,endocrine,1080,0.178418242,1.05002643,0.048815335,0.036249283,0.01139813,FALSE,FALSE
A.1.A,Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma,other,868,0.179589704,1.053443538,0.052064358,0.038757161,0.012915174,FALSE,FALSE
TestAM,Testosterone [Mass/volume] in Serum or Plasma,endocrine,396,0.180060431,0.946138696,-0.055366108,0.04121346,-0.001466236,FALSE,FALSE
OsteoC,Osteocalcin [Mass/volume] in Serum or Plasma,endocrine,268,0.184836198,1.088515258,0.084814619,0.063748125,0.025150153,FALSE,FALSE
Threon,Threonine [Moles/volume] in Serum or Plasma,metabolic,423,0.185799488,0.792878459,-0.232085336,0.175094276,0.001184665,FALSE,FALSE
Cipro,Ciprofloxacin [Susceptibility] by Minimum inhibitory concentration (MIC),toxicology/pharmacology,246,0.185948913,1.079735793,0.076716375,0.057795059,0.002518516,FALSE,FALSE
CPKTot,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,cardiovascular,8356,0.187191692,1.009051321,0.009010603,0.00683107,0.019317813,FALSE,FALSE
Zonisa,Zonisamide serum/plasma,toxicology/pharmacology,123,0.187363564,0.647850125,-0.434095899,0.327023091,0.033803208,FALSE,FALSE
Meta,Metamyelocytes/100 leukocytes in Blood by Manual count,blood,7607,0.1896681,0.985213396,-0.014897015,0.011356995,0.000938446,FALSE,FALSE
Estrad,Estradiol (E2) [Mass/volume] in Serum or Plasma by High sensitivity method,endocrine,157,0.189838339,0.864832775,-0.145219115,0.110176618,0.030776853,FALSE,FALSE
Oxacil,Oxacillin [Susceptibility] by Minimum inhibitory concentration (MIC),toxicology/pharmacology,435,0.193289725,1.065226893,0.063187822,0.048476747,-0.011344374,FALSE,FALSE
Ceftrxo,Ceftriaxone [Susceptibility] by Minimum inhibitory concentration (MIC),toxicology/pharmacology,228,0.193778289,1.09902406,0.094422568,0.072372633,0.04363101,FALSE,FALSE
IMMATURE_GRANULOCYTES,IMMATURE_GRANULOCYTES,immune,1000,0.194890318,1.039549018,0.038786982,0.02989915,0.00206047,FALSE,FALSE
P.Nor,Norepinephrine [Mass/volume] in Plasma,endocrine,529,0.196837315,1.061565196,0.059744419,0.04622036,0.004305744,FALSE,FALSE
C.pCO2,Carbon dioxide serum/plasma,blood,410,0.197789594,0.794653344,-0.229849305,0.178099923,0.005877512,FALSE,FALSE
ABS.BASO.CT,ABS BASO CT,immune,212,0.197911066,1.097512738,0.093046472,0.071974845,0.00957988,FALSE,FALSE
blUnit,blUnit,other,131,0.199259546,1.075096179,0.072410127,0.056023946,0.009221485,FALSE,FALSE
VITAMIN_D3__25.HYDROXY,VITAMIN_D3__25-HYDROXY,metabolic,156,0.206854787,0.889099522,-0.117546101,0.092616032,0.041514884,FALSE,FALSE
TOTAL.PROTEIN,TOTAL PROTEIN,liver,245,0.206944893,1.080767744,0.077671662,0.061343445,0.032613544,FALSE,FALSE
CHOL_HDL_RATIO,Cholesterol in HDL [Mass/volume] in Serum or Plasma,metabolic,725,0.20794093,1.044550249,0.043586409,0.034577315,-0.006150346,FALSE,FALSE
NEUTROPHIL.ABSOLUTE.COUNT,NEUTROPHIL ABSOLUTE COUNT,immune,339,0.208906478,1.078986151,0.076021851,0.060349651,0.006731825,FALSE,FALSE
Prolac,Prolactin [Mass/volume] in Serum or Plasma,endocrine,3038,0.2110671,1.031493463,0.031007716,0.024787751,-0.002238628,FALSE,FALSE
O2_SATURATION,O2_SATURATION,blood,132,0.211671373,0.895960885,-0.109858523,0.087346445,0.069882574,FALSE,FALSE
PINP,Procollagen type I.N-terminal propeptide [Mass/volume] in Serum,endocrine,367,0.212950448,1.072632447,0.070115858,0.056171401,0.00421997,FALSE,FALSE
FNucCl,Nucleated cells [#/volume] in Synovial fluid by Manual count,blood,1801,0.214306796,0.974392746,-0.025940826,0.020880186,-0.000928945,FALSE,FALSE
P.S.Ac,P-S-Ac,blood,999,0.216763023,1.044219898,0.043270098,0.035003444,0.00524482,FALSE,FALSE
CMyelo,Myelocytes/100 leukocytes in Cerebral spinal fluid by Manual count,immune,780,0.217490553,1.040246451,0.039457657,0.03196615,-0.015744977,FALSE,FALSE
FMonMc,Mononuclear cells [#/volume] in Body fluid by Manual count,immune,1892,0.217975238,0.973027345,-0.027343094,0.022185795,0.005195563,FALSE,FALSE
CBlsts,Blasts/100 leukocytes in Cerebral spinal fluid by Manual count,blood,773,0.218882981,1.038385299,0.037666909,0.030607697,0.059823452,FALSE,FALSE
KLRat,Kappa light chains.free/Lambda light chains.free [Mass Ratio] in Serum,immune,1011,0.221266927,1.01995915,0.019762578,0.016144607,-0.013118312,FALSE,FALSE
